"Geo Name","Date","Population","Population Chg","Births","Deaths","International Migration","Net Migration"
"United States","2023-01-01","334914895","1643484","3653356","3148861","1138989","1138989"
"United States","2022-01-01","333271411","1222434","3679254","3456087","999267","999267"
"United States","2021-01-01","332048977","522044","3584459","3438423","376008","376008"
"United States","2020-01-01","331526933","3196980","894123","852024","19886","19886"
"United States","2019-01-01","328329953","1491754","3770397","2847282","568639","568639"
"United States","2018-01-01","326838199","1716071","3835477","2839277","719871","719871"
"United States","2017-01-01","325122128","2050373","3890144","2788163","948392","948392"
"United States","2016-01-01","323071755","2332761","3970959","2703215","1065017","1065017"
"United States","2015-01-01","320738994","2352665","3992376","2699826","1060115","1060115"
"United States","2014-01-01","318386329","2326382","3963195","2582448","945635","945635"
"United States","2013-01-01","316059947","2182285","3940576","2608019","849728","849728"
"United States","2012-01-01","313877662","2294181","3936976","2501531","858736","858736"
"United States","2011-01-01","311583481","2837943","3973485","2512442","795295","795295"
"United States","2010-01-01","308745538","1974009","987836","598691","179893","179893"
"United States","2009-01-01","306771529","2677563","4262897","2486097","854905","854905"
"United States","2008-01-01","304093966","2862759","4282972","2438757","862955","862955"
"United States","2007-01-01","301231207","2851295","4304907","2425115","866397","866397"
"United States","2006-01-01","298379912","2863313","4178113","2417538","1006408","1006408"
"United States","2005-01-01","295516599","2711301","4121160","2433274","947844","947844"
"United States","2004-01-01","292805298","2697365","4112637","2449577","985807","985807"
"United States","2003-01-01","290107933","2482740","4052799","2422701","822079","822079"
"United States","2002-01-01","287625193","2656238","4006985","2429999","1078014","1078014"
"United States","2001-01-01","284968955","3547049","4047314","2419276","1200535","1200535"
"United States","2000-01-01","281421906","2381738","0","0","0","0"
"United States","1999-01-01","279040168","3186064","3938472","2344573","851541","851541"
"United States","1998-01-01","275854104","3207179","3905544","2319799","853819","853819"
"United States","1997-01-01","272646925","3252641","3892431","2321933","939450","939450"
"United States","1996-01-01","269394284","3115891","3881967","2317918","864269","864269"
"United States","1995-01-01","266278393","3152572","3926652","2284363","784716","784716"
"United States","1994-01-01","263125821","3207233","3971136","2282854","764208","764208"
"United States","1993-01-01","259918588","3404364","4027125","2226027","825880","825880"
"United States","1992-01-01","256514224","3533283","4105689","2180115","773452","773452"
"United States","1991-01-01","252980941","4135125","4133265","2138906","649430","649430"
"United States","1990-01-01","248845816","2026594","3026218","1605349","0","0"
"United States","1989-01-01","246819222","2320218","3970649","2152054","0","0"
"United States","1988-01-01","244499004","2210068","3856303","2140834","0","0"
"United States","1987-01-01","242288936","2156105","3779973","2108937","0","0"
"United States","1986-01-01","240132831","2209097","3755370","2090370","0","0"
"United States","1985-01-01","237923734","2098826","3711385","2056975","0","0"
"United States","1984-01-01","235824908","2032894","3650759","2023847","0","0"
"United States","1983-01-01","233792014","2127582","3657037","1993225","0","0"
"United States","1982-01-01","231664432","2198688","3652774","1972703","0","0"
"United States","1981-01-01","229465744","2923494","0","0","0","0"
"United States","1980-01-01","226542250","1975250","0","0","0","0"
"United States","1979-01-01","224567000","2472000","0","0","0","0"
"United States","1978-01-01","222095000","2336000","0","0","0","0"
"United States","1977-01-01","219759000","2197000","0","0","0","0"
"United States","1976-01-01","217562000","2098000","0","0","0","0"
"United States","1975-01-01","215464000","2123000","0","0","0","0"
"United States","1974-01-01","213341000","1985000","0","0","0","0"
"United States","1973-01-01","211356000","2073000","0","0","0","0"
"United States","1972-01-01","209283000","2457000","0","0","0","0"
"United States","1971-01-01","206826000","3523963","0","0","0","0"
"United States","1970-01-01","203302037","0","0","0","0","0"
